wavelength_nm,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,CYAN
390,-2.05939477402545e-05,3.75277427192094e-05,0.000175101766790281,3.89813936231511e-05,5.77223390644138e-05
392,-1.09335140730079e-05,3.44004308259419e-05,0.000163428315670929,5.47330588014856e-05,5.33995207203828e-05
394,-6.5675971520739e-06,3.62768179619024e-05,0.00016809769611867,3.96973784039845e-05,5.95023230884266e-05
396,4.85268295843088e-06,2.67697898063693e-05,0.000183565018851811,3.6992547009725e-05,5.72137722004101e-05
398,7.86314368264264e-06,3.00847404132328e-05,0.000226173115437446,1.71836347400013e-05,4.75510017843409e-05
400,4.31349596304968e-06,3.12731189326745e-05,0.000286875061258077,3.45263772090767e-05,5.11109698323664e-05
402,1.83473352594995e-06,2.58003231194564e-05,0.000417325877516836,3.11055610339838e-05,5.23823869923755e-05
404,3.46727192863194e-06,2.56126844058604e-05,0.000659549988243391,1.94906968115756e-05,4.98395526723573e-05
406,6.78476969188022e-06,2.72388865903595e-05,0.00110314113077877,2.394571322565e-05,5.161953669637e-05
408,1.61007227787444e-05,3.59640867725756e-05,0.0018502420024173,1.99680199987978e-05,5.28909538563791e-05
410,1.01097561633977e-05,3.81532050978629e-05,0.00315183180222506,2.41843748192611e-05,5.18738201283719e-05
412,9.510659501863e-06,3.97168610444966e-05,0.00536978751490195,3.95382706749104e-05,5.33995207203828e-05
414,8.46224034417731e-06,4.78478719669919e-05,0.00893019010630432,6.57910459721346e-05,5.51795047443956e-05
416,1.56514002825934e-05,5.31643021855466e-05,0.0145334466435933,9.06914055722291e-05,6.30622911364521e-05
418,1.49025294556751e-05,7.03645175985176e-05,0.0228215969383333,0.000146379110748159,6.78936763444867e-05
420,2.25410118902422e-05,0.000104139486045806,0.0344366808020886,0.000215590972895387,7.39964787125304e-05
422,3.84170734209112e-05,0.000138852648061075,0.04990400353523,0.000312646687630579,9.23048858166617e-05
424,4.17121050593519e-05,0.000189202369542681,0.0688733616041771,0.000427204252563921,0.0001256160154089
426,5.95352307400085e-05,0.000246119446000148,0.089593737341027,0.00055449043582319,0.000191729707729374
428,6.46275523630533e-05,0.000290527274884546,0.108854931687958,0.000661888152948198,0.000345825467522479
430,7.36888893687653e-05,0.000328367748793082,0.121403891641261,0.000745419710712093,0.000661136923204739
432,6.94203256553307e-05,0.000328367748793082,0.123154909309164,0.000758943867683391,0.00124853165112895
434,6.4328004032286e-05,0.000290214543695219,0.111189621911828,0.000674616771274125,0.00229109372233642
436,4.76281845920068e-05,0.00022673011226189,0.086675374561189,0.000505167039810223,0.00422110497123026
438,3.79677509247602e-05,0.000143543615900976,0.0569080742068413,0.000320602074084284,0.00752678958725396
440,1.9919963996028e-05,9.16302384727362e-05,0.032393826856202,0.000190929274888903,0.0123836031384888
442,1.632538402682e-05,5.66043452681408e-05,0.0169556877508589,0.000105806639834267,0.0189186873409356
444,1.03344174114732e-05,3.90913986658431e-05,0.00846325206153024,5.9028967486486e-05,0.0269540437921932
446,1.15326107345425e-05,3.02098328889635e-05,0.0046985640755392,4.16066711528735e-05,0.0350911136162515
448,8.01291784802631e-06,2.94280049156467e-05,0.00326856631341858,2.7684744858891e-05,0.0432281834403099
450,6.37289073707513e-06,2.8239626396205e-05,0.00261193468795502,2.29910668512054e-05,0.0511109698323664
452,4.0289250488207e-06,2.71450672335614e-05,0.00211289465260272,2.23546359349091e-05,0.0584851893604192
454,6.59755198515063e-06,1.91391487867968e-05,0.0017043238634254,1.20921874096305e-05,0.0648422751604648
456,1.0858626990316e-05,2.22351875611316e-05,0.00139789577154241,1.54334497201864e-05,0.0696736603684995
458,1.0409304494165e-05,2.02962541873057e-05,0.00117318183749488,2.06840047796312e-05,0.071707927824514
460,5.77379407554045e-06,2.19537294907375e-05,0.00100683515904411,1.16148642224083e-05,0.0711993609605104
462,4.73286362612395e-06,2.17035445392761e-05,0.000890100647850594,1.52743419911123e-05,0.0681479597764885
464,6.10329723938452e-06,2.03900735441038e-05,0.000796713038895778,1.50356803975011e-05,0.0625537242724484
466,2.77831076786707e-06,2.20475488475355e-05,0.000723753969399827,1.63880960946309e-05,0.0554337881763974
468,8.38735326148548e-06,2.02962541873057e-05,0.000662468351023229,7.95538645370431e-06,0.0475510017843409
470,2.66598014382931e-06,2.34548391995059e-05,0.000615774546545821,6.88936466890793e-06,0.0396682153922844
472,5.63150861842596e-06,2.10468090416899e-05,0.000571999104848251,1.50356803975011e-05,0.0325482792962333
474,4.95752487419945e-06,2.58628693573218e-05,0.000531142025930519,1.52743419911123e-05,0.0269540437921932
476,2.54616081152238e-06,2.89589081316566e-05,0.0004990400353523,9.228248286297e-06,0.0222243719569593
478,2.57611564459911e-06,2.91778199641853e-05,0.00045526459365473,1.18535258160194e-05,0.0184864055065325
