wavelength_nm,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,ROY.BLUE.LED
390,2.64131961895324e-05,-4.33533143025635e-05,0.000156674534041765,-7.07161343962175e-05,0.000120472070253481
392,-2.78824098218302e-05,-0.000300410194216133,-3.50922598871827e-05,-0.000182665543531015,-0.000127164963045341
394,1.08068824953464e-05,-7.79888425768942e-06,0.000189285523027834,0.000207234593245713,0.000235738557224404
396,6.9216286677143e-05,6.7621745678455e-05,0.000109175919649013,0.000317261207185447,0.000170296938815106
398,6.59513674942589e-05,0.000234437759407884,0.00026088791188855,0.000173051567555698,0.000226814700168591
400,-2.49766317490634e-05,-2.42684313758915e-05,8.79078833537507e-05,0.000113231272598173,0.000170296938815106
402,5.41976584358761e-05,1.68465324599635e-05,7.44381270334179e-05,-5.59747045673987e-05,0.000107829939424412
404,2.57602123529556e-05,-5.74902646186168e-05,-4.72859340297997e-05,-3.8349081945985e-06,0.000202274093265104
406,-9.59886239767927e-05,-0.000139013344774524,-4.1685351138714e-05,-3.14056548527008e-05,4.37268995734857e-05
408,4.66883443152427e-05,-2.94519798251111e-05,3.12640133540355e-06,0.000121777029020677,0.000151705569948828
410,1.68143337918531e-05,8.65888206858266e-06,0.000102086574217259,0.000423014942913929,0.000251355307072078
412,-8.65203583464287e-05,-3.46355282743306e-05,-3.54467271587704e-05,0.000217916788773842,8.40329872755763e-05
414,7.77050765526417e-05,9.01230582648399e-05,6.2528026708071e-05,0.000119640589915051,0.000269203021183705
416,-4.66883443152427e-05,-8.95340186683377e-05,2.9491676996097e-05,7.1250244172624e-05,0.000314565961217423
418,4.24439493774933e-05,0.000102257273952786,0.000123354610512521,-1.26049907231928e-05,0.000368852758306955
420,7.86845523075069e-05,9.01230582648399e-05,0.000300588246306373,0.000364262867509217,0.000669289279186006
422,-1.7042878134655e-05,-0.000154328374283582,0.000113429526908065,-3.14056548527008e-05,0.000743654754651118
424,-3.59141110117251e-05,-0.000139013344774524,0.000141077974091906,-2.67054888203238e-10,0.00116753796480226
426,-2.92863250704704e-05,-0.000226191205056853,6.86248637793795e-05,-0.000157028274263504,0.00182939069644175
428,-1.24719912786173e-05,-3.02766352602142e-05,0.000236075202877411,7.54163004285945e-05,0.00294487282841843
430,3.85260463580324e-06,-0.00024386239295192,0.000226150119272955,-0.000107890174834108,0.00418677626868579
432,8.7499834101294e-05,0.000168465324599635,0.000656473386980428,0.000145277859182562,0.00617977101115079
434,3.85260463580324e-06,-6.92710565486613e-05,0.000550133205504117,1.8800664129508e-05,0.00832893325209252
436,-6.56248755759705e-06,-9.04764820227413e-05,0.000836542760946982,7.74459175789391e-05,0.011972841549883
438,-2.73926719443976e-05,-0.000168465324599635,0.00110593788735364,4.82835237871455e-05,0.016657866504185
440,1.07742333035175e-05,-2.45040472144924e-05,0.0015596559949859,0.000157028274263504,0.0229789319187195
442,-2.6707038915992e-05,-0.000177889958143671,0.00211971428409447,3.59989989297965e-05,0.0315309615972074
444,2.1777010949837e-05,0.000103081929387889,0.00322565217144811,-6.13158023314635e-05,0.0423883210151137
446,-7.01957624320082e-07,-0.000111564099577521,0.00423233922275719,9.42169645581025e-05,0.0549560863687176
448,1.91977247953585e-05,0.000340464886778284,0.00610392641674027,6.28113097054016e-05,0.0676725826732517
450,1.07742333035175e-05,-9.55422225526604e-05,0.00864900142673998,0.000152755396052252,0.0780837492383674
452,6.72573351674126e-05,-1.94383066845733e-05,0.0121227806882995,0.000265986668650425,0.0825456777662741
454,6.17069725565096e-05,0.000167287245406631,0.0168726421275747,0.000226462545196346,0.0810583682569719
456,7.67256007977764e-05,0.000129588711230489,0.0230403726532008,0.000220053227879468,0.073844917136856
458,-9.37031805487738e-06,3.54601837094337e-05,0.0310513329910829,0.000251031594911044,0.0632850196208101
460,4.79943119883963e-05,-6.17313497134328e-05,0.0408346296869035,0.000132459224548806,0.0526507566292992
462,1.71081765183127e-05,-5.48984903940071e-05,0.051255967471582,0.000270259546861677,0.0434294376716253
464,3.42816514202831e-05,-2.87451323093084e-05,0.0609683707130851,2.37144740724476e-05,0.0356954282232537
466,6.9216286677143e-05,0.000240328155372907,0.0696173721398251,0.000337557378688893,0.0301923830388354
468,3.85260463580324e-05,0.000173177641371653,0.0751470615765933,0.000126049907231928,0.0254329926090682
470,-2.69355832587939e-05,0.000101432618517683,0.0751470615765933,6.05680486444944e-05,0.021268525983022
472,-2.71641276015957e-05,-0.000216766571512818,0.0708934543175408,-7.65913419366887e-07,0.0182195414889524
474,9.27237047939086e-05,0.000306300590181155,0.0636623219771517,0.000343966696005771,0.0155423843722084
476,7.4766649288046e-05,0.000393478450463484,0.0557222550935871,0.000190143080400706,0.0128652272554643
478,-9.37031805487738e-07,0.000485368627517831,0.0477821882100225,7.74459175789391e-05,0.0107829939424412
480,-2.01772005502238e-05,0.000134301028002507,0.0405510558696334,4.71084822790512e-06,0.00877512610488319
482,-1.2733184813248e-05,0.000407615400779537,0.034737792615595,0.00015916471336913,0.0072506338578484
484,6.72573351674126e-05,0.000728052941276746,0.0304841853565426,0.000229667203854785,0.00620208065379032
486,6.10539887199327e-05,0.000966024938263644,0.0263014715518077,0.000384559039012663,0.00548817208932525
488,0.000186426885342682,0.00151972215897573,0.0220478642927552,0.000374945063037347,0.0044544919803602
490,6.62778594125473e-05,0.00155506453476587,0.0178651504880203,0.000220053227879468,0.00360672556005792
492,4.3749917050647e-05,0.0020145154200376,0.0142495843178257,0.000259577351333548,0.00281101497258123
494,4.79943119883963e-05,0.00279204768742053,0.0116265265080767,0.000220053227879468,0.00241687795261613
496,-1.05783381525445e-05,0.00362848391445369,0.00949972287855047,0.000111094833492547,0.00191119271945337
498,6.95427785954314e-05,0.00485368627517831,0.00786917342924703,0.000255304473122296,0.00188144652926733
500,3.20941555677507e-05,0.00637340843415404,0.00683412899621094,0.000161301152474756,0.0013980709387441
502,8.78263260195824e-05,0.00870600523630284,0.00587706736292414,0.000162369372027569,0.00139063439119759
504,6.49718917393937e-05,0.0117807919300444,0.00535245580097433,9.27214571841643e-05,0.0013980709387441
506,5.74625776187602e-05,0.0153150295090578,0.00446628762200507,0.000142073200524123,0.00107086284669761
508,4.73413281518195e-05,0.0202629621196764,0.00395585475091878,0.00023500830161885,0.000996497371232498
510,1.10027776463194e-05,0.0255643184881964,0.00336743908008319,0.000342898476452958,0.000773400944837163
512,9.37031805487738e-07,0.0320437540497209,0.00272230864579357,-0.000146346078735375,0.000780837492383674
514,2.55316680101537e-05,0.0376985341761422,0.00226859053816131,0.000167710469791634,0.00066557100541275
516,1.61613499552763e-05,0.0427642747060613,0.00197792737545939,7.43480808757815e-05,0.000773400944837163
518,-4.70148362335311e-05,0.0465341281236755,0.00152420926782713,8.66326057331305e-05,0.0005324568043302
520,2.95148694132723e-05,0.0497149419447875,0.001297350214011,0.000155960054710691,0.000635081160472055
522,6.98692705137198e-05,0.050893021137792,0.0010350444330361,0.000273464205520116,0.000504197923653458
524,4.24439493774933e-05,0.050893021137792,0.00085072145181049,0.000263850229544799,0.000493786757088342
526,-3.75465706031672e-06,0.0494793261061866,0.000683412899621094,0.00016984690889726,0.000384469508154628
528,0.00010676285728031,0.0473587835587786,0.000744381270334179,0.000267054888203238,0.000461809602638344
530,2.87965871930378e-05,0.0450026251727697,0.000562894027281274,6.28113097054016e-05,0.000415703007849975
532,-1.26352372377615e-05,0.0422930430288595,0.00062528026708071,-5.67224582543678e-05,0.000348030425176723
534,-2.53031236673518e-05,0.0398190767235502,0.000399130147807755,9.42169645581025e-05,0.000323489818273236
536,2.24952931700715e-05,0.0376985341761422,0.000550842140047292,0.000295896816129188,0.0004320634124523
538,7.83580603892185e-05,0.0351067599515324,0.000491291638420558,-3.8349081945985e-05,0.000395624329474395
540,2.38992084187116e-05,0.0331040253234249,0.000455844911261788,0.000283078181495433,0.000469246150184855
542,0.000103171446179138,0.030747866937416,0.000552260009133643,0.000334352720030454,0.000548073554177874
544,0.00010055951083283,0.0281560927128062,0.000607556903501325,0.000551201289251484,0.000520558328255783
546,0.000135820638007979,0.025446510568896,0.000619608790735307,0.000489244555188332,0.000467015185920902
548,4.17909655409165e-05,0.0223835046670844,0.000500507787481838,0.00028948749881231,0.000401573567511604
550,6.10539887199327e-05,0.0197917304424747,0.000289245293615567,0.000475357701001764,0.000424626864905788
552,2.08301843868006e-05,0.0168465324599635,0.000290663162701918,0.000426219601572368,0.000235738557224404
554,0.000114598663319232,0.0149616057511564,0.00038140678422837,0.000722116417701556,0.000378520270117419
556,6.13804806382212e-05,0.0124876394458471,0.000132570759573801,0.000674046537824973,0.000293743628087192
558,3.04616959763087e-05,0.010861890159501,0.000233239464704709,0.000643068170793398,0.000322002508763934
560,6.30129402296632e-05,0.00948353750368577,0.000252380697370445,0.00110026613939734,0.00032572078253719
562,7.96640280623721e-05,0.00797559613664008,0.000226859053816131,0.00121777029020677,0.000128652272554643
564,4.73413281518195e-05,0.00705669436609662,0.000128317152314749,0.00164505811133195,0.000209710640811615
566,4.47293928055122e-05,0.00619669655520337,0.000136824366832854,0.00233940082066037,0.00020599236703836
